gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
968274118																										OBS213830820										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS213830820	OBS213830820		obsr352642													PRESENT																			1994-03-20T00:00:00				1994	3	20												EUROPE				GB	Scotland	Aberdeenshire		Glen Tanar									57.0423	-2.837314																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:18:13.550Z								CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:18:13.550Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.2_1	Aberdeenshire	GBR.3.2.1_1	Aberdeenshire	LC	
966150757																										OBS211648515										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS211648515	OBS211648515		obsr168209		4											PRESENT																			2013-05-30T00:00:00				2013	5	30												EUROPE				GB	Scotland	Highland		Ariundle Oakwood NNR									56.720844	-5.531659																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:18:31.346Z								CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:18:31.346Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
956585977																										OBS201088260										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS201088260	OBS201088260		obsr97526		3											PRESENT																			2013-06-10T00:00:00				2013	6	10												EUROPE				GB	Scotland	Highland		Nethy Bridge									57.264854	-3.65791																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:38.130Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:38.130Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
956571916																										OBS201115031										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS201115031	OBS201115031		obsr352263		3											PRESENT																			2006-04-17T00:00:00				2006	4	17												EUROPE				GB	Scotland	Highland		Loch Garten RSPB Reserve									57.243744	-3.695462																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:16:13.357Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:16:13.357Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
956541106																										OBS201115764										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS201115764	OBS201115764		obsr352263		2											PRESENT																			2006-04-17T00:00:00				2006	4	17												EUROPE				GB	Scotland	Highland		Rothiemurchus Forest									57.151325	-3.796034																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:16:09.083Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:16:09.083Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
956118496																										OBS200723380										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS200723380	OBS200723380		obsr346146		4											PRESENT																			1995-04-01T00:00:00				1995	4	1												EUROPE				GB	Scotland	Highland		Loch Garten RSPB Reserve									57.243744	-3.695462																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:56:20.731Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:56:20.731Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
955765312																										OBS200121435										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS200121435	OBS200121435		obsr352263		11											PRESENT																			2004-05-23T00:00:00				2004	5	23												EUROPE				GB	Scotland	Highland		Lairig Ghru									57.134624	-3.744495																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:21.769Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:21.769Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
955388038																										OBS199660541										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS199660541	OBS199660541		obsr352263		2											PRESENT																			2001-08-14T00:00:00				2001	8	14												EUROPE				GB	Scotland	Highland		Loch an Eilein									57.15242	-3.821397																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:00.698Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:00.698Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
954827209																										OBS198992058										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS198992058	OBS198992058		obsr352263		2											PRESENT																			1994-06-29T00:00:00				1994	6	29												EUROPE				GB	Scotland	Highland		Loch an Eilein									57.15242	-3.821397																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T14:58:35.970Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T14:58:35.970Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
954825008																										OBS198991450										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS198991450	OBS198991450		obsr352263		30											PRESENT																			1994-06-29T00:00:00				1994	6	29												EUROPE				GB	Scotland	Highland		Abernethy Forest									57.24098	-3.672695																																																	avibase-74FCC44D	Loxia scotica Hartert, 1904								Animalia	Chordata	Aves	Passeriformes	Fringillidae		Loxia	Loxia			scotica			SPECIES		Scottish Crossbill		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	GB	2023-01-24T15:16:21.131Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	2494177	2494177	1	44	212	729	5242	2494150		2494177	Loxia scotica	Loxia scotica Hartert, 1904	Loxia scotica		DWC_ARCHIVE	2023-01-24T15:16:21.131Z	2022-03-02T17:41:33.833Z	false		GBR	United Kingdom	GBR.3_1	Scotland	GBR.3.17_1	Highland	GBR.3.17.1_1	Highland	LC	
